2023-06-12 01:04:56.209 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 11740 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 01:04:56.217 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 01:04:58.442 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.54 seconds (JVM running for 3.123)
2023-06-12 08:36:22.985 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 27612 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 08:36:22.987 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 08:36:25.142 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.423 seconds (JVM running for 3.027)
2023-06-12 08:42:30.093 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 22824 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 08:42:30.095 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 08:42:32.013 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.17 seconds (JVM running for 2.682)
2023-06-12 09:05:43.607 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 30476 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 09:05:43.608 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 09:05:45.490 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.126 seconds (JVM running for 2.761)
2023-06-12 09:27:14.250 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 25288 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 09:27:14.253 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 09:27:16.517 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.592 seconds (JVM running for 3.279)
2023-06-12 09:32:37.935 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 29944 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 09:32:37.937 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 09:32:39.801 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.11 seconds (JVM running for 2.615)
2023-06-12 09:36:42.668 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Starting CommunityAppApplication using Java 18.0.1.1 on DESKTOP-REITVCN with PID 2908 (C:\Users\shsh5\Desktop\communityApp\target\classes started by shsh5 in C:\Users\shsh5\Desktop\communityApp)
2023-06-12 09:36:42.670 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-12 09:36:44.554 [main] INFO  ca.bytetube.communityApp.CommunityAppApplication - Started CommunityAppApplication in 2.134 seconds (JVM running for 2.626)
